Access to Water (WATSUP) - Percentage of population with access to improved drinking water source,,,,,,,,,,,,,,,,,,,,,,
"Source: WHO/UNICEF Joint Monitoring Programme (JMP) for Water Supply and Sanitation, 2013.",,,,,,,,,,,,,,,,,,,,,,
Notes: NA = Not Applicable,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Botswana,91.8840167,92.5068665,92.8242011,93.0953224,93.3608335,93.6204819,93.8743761,94.1219653,94.3637218,94.599402,94.8290741,95.0524223,95.2696832,95.4794394,95.6818301,95.8770532,96.0652426,96.2466667,96.4214645,96.5897851,96.7519289,96.7952537
Brazil,88.4758942,89.0265261,89.5639064,90.0874502,90.5982349,91.0962467,91.581987,92.071784,92.5496952,93.0142,93.4658766,93.8378027,94.1983034,94.5538592,94.9046419,95.2504865,95.5917329,95.9283838,96.2605947,96.5882434,96.911624,97.230753
British Virgin Islands,NA,NA,NA,NA,NA,94.8481562,94.8524729,94.8521017,94.8482388,94.8501268,94.8485292,94.8522357,94.8477973,94.8521869,94.8483035,94.8522055,94.8501326,94.851406,NA,NA,NA,NA
Brunei Darussalam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA
Bulgaria,99.9369083,99.9247744,99.9128915,99.8893982,99.865538,99.8417782,99.8180952,99.7945111,99.7710166,99.7476026,99.7242872,99.7011234,99.6782076,99.6553878,99.6326443,99.6099683,99.5873865,99.5649114,99.5447565,99.5247839,99.5050259,99.4854646
Burkina Faso,43.5854756,43.6784834,45.4472154,47.2134282,48.9774229,50.7390103,52.4982419,54.3154479,56.1788889,58.0396046,59.8975339,61.7514334,63.6017774,65.4478833,67.2896058,69.1256441,70.9564332,72.7812202,74.5962458,76.4005133,78.1939379,79.9761608
Burundi,69.3777268,69.6481325,69.9143335,70.1780276,70.4392811,70.6979471,70.9539404,71.2069236,71.4569821,71.7015333,71.9429927,72.1810687,72.415769,72.646914,72.8744261,73.0980012,73.3176326,73.5331219,73.7443546,73.9510428,74.1532264,74.3506836
Cambodia,31.3976039,31.4635984,31.5308471,31.5990936,31.6686075,33.7743693,35.8852776,38.0011332,40.1032427,42.169007,44.2361257,46.3045071,48.3742593,50.4453604,52.5178527,54.5916347,56.6668299,58.7434089,60.8214246,62.9041996,64.9921154,67.0854053
Cameroon,49.0088228,50.3235141,51.6385166,52.9526714,54.2669856,55.5810093,56.8950427,58.2079111,59.5206261,60.8327459,62.1445518,63.4548808,64.7647425,66.0737006,67.3820221,68.6885685,69.994331,71.2972006,72.5971116,73.8940094,74.145463,74.3950758
Canada,99.7658159,99.7661998,99.7688733,99.7715168,99.7741428,99.7767497,99.7795128,99.7833987,99.7872383,99.7910302,99.7947753,99.7980995,99.7988826,99.799665,99.8004452,99.801223,99.8019982,99.8028161,99.8036813,99.8045906,99.805542,99.8065361
Cape Verde,NA,NA,80.4223433,80.4495491,80.47681,80.5041702,80.5317617,81.0631326,81.5969972,82.1337222,82.6728235,83.212161,83.7535893,84.2973626,84.8435251,85.3919468,85.9423711,86.495053,87.0501117,87.6069167,88.1659036,88.7259906
Cayman Islands,NA,NA,NA,92.6448095,92.6456087,92.6445475,92.6472313,92.6444388,92.8890584,93.1329015,93.3772857,93.6213266,93.8670568,94.1106347,94.3548227,94.5989898,94.8428657,95.0876936,95.3323085,95.5759195,95.5753157,95.5754552
Central African Republic,58.4830807,58.5080471,58.5330821,59.0432516,59.5545251,60.0668327,60.5802637,61.0946758,61.610196,62.1267813,62.6444947,63.1631816,63.6829573,64.2038264,64.7257875,65.2559808,65.7948533,66.3427975,66.9001673,66.9720305,67.0516656,67.1390782
Chad,39.7635324,40.2731242,40.7858286,41.2951599,41.7844978,42.2740975,42.7639474,43.2540274,43.7443919,44.2349939,44.7258544,45.2169679,45.7083347,46.199961,46.6918429,47.1839693,47.6763638,48.1690084,48.6619281,49.1550814,49.6530571,50.1562275
Chile,90.1777253,90.6108688,91.052642,91.5437216,92.0220545,92.4876831,92.9409999,93.3817959,93.8257398,94.2835391,94.7235895,95.1459415,95.5515687,95.9385501,96.3080506,96.6611818,96.9990061,97.3225203,97.6326647,97.9303406,98.2163985,98.4916435
China,66.7424988,68.1694215,69.5798213,70.9714416,72.3448418,73.698711,75.0326466,76.3445341,77.6348603,78.902407,80.1467894,81.415773,82.6803226,83.912602,85.1118982,86.2759406,87.3962672,88.4773698,89.5236145,90.5335385,91.5075751,91.6892505
Colombia,88.292129,88.5649415,88.8364919,89.106177,89.3397572,89.5565446,89.7728053,89.9881811,90.2030222,90.4172078,90.6308459,90.8435918,91.055787,91.267314,91.4782793,91.6883489,91.8975919,92.1059001,92.3132765,92.5197295,92.7252607,92.929878
Comoros,86.9887822,87.5601905,88.0665484,88.5584102,89.0516396,89.5459123,90.0412573,90.5379399,91.035758,91.5347605,92.034761,92.5359567,93.0384207,93.5419542,94.0465843,94.5517237,95.0566111,95.0564543,95.0553345,95.0531872,95.0501531,NA
Congo,NA,NA,NA,NA,NA,NA,NA,69.9572547,70.2340373,70.5099794,70.7854491,71.0592438,71.1790151,71.3016961,71.427593,71.5555717,71.6866548,71.8204145,71.9558673,72.0922279,72.2297787,72.3684872
Cook Islands,100,100,100,100,100,100,100,100,100,100,100,100,99.972694,99.9144065,99.853211,99.7938357,99.7304034,99.6727254,99.6103701,99.6130185,99.6106073,99.6130107
Costa Rica,93.1325238,93.3553533,93.574893,93.7904809,94.0025965,94.2109615,94.4156397,94.5669213,94.7162711,94.8635836,95.008956,95.1515709,95.2917285,95.4293995,95.5645534,95.6972794,95.8276013,95.9555164,96.0811114,96.2043788,96.3253884,96.4441694
Cote d'Ivoire,75.9737748,76.1177996,76.2619959,76.4059843,76.5501315,76.6942946,76.8385926,76.9826442,77.1268103,77.3098369,77.5182607,77.7263879,77.9347916,78.1432169,78.3518123,78.559888,78.7680265,78.9995406,79.2310131,79.4616297,79.6895703,79.8621379
Croatia,98.4341628,98.44288,98.4470071,98.4511018,98.4552054,98.4593064,98.4634203,98.4675238,98.4716137,98.4756969,98.4798025,98.4838964,98.4883385,98.4931743,98.498378,98.5039575,98.5098982,98.5162206,98.5228999,98.5299479,98.5373342,98.5451001
Cuba,NA,NA,NA,NA,89.5218238,89.6289032,89.7362329,89.8598472,89.9999175,90.3450477,90.685241,90.9884573,91.2899043,91.5725593,91.8313445,92.0993257,92.3748198,92.645381,92.918561,93.1945812,93.473118,93.7538837
Cyprus,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Czech Republic,99.8205231,99.8203768,99.8200736,99.8197661,99.8194537,99.8191454,99.8188267,99.8185215,99.8182067,99.8178909,99.817571,99.817323,99.8172095,99.8170958,99.8169907,99.8168705,99.8167621,99.8166485,99.8165333,99.8164225,99.8163149,99.8162003
Dem. Rep. Congo,43.1578242,43.1790111,43.2169284,43.271644,43.3288089,43.4011048,43.4881334,43.5895253,43.7049187,43.8339717,43.9763572,44.1317615,44.2998709,44.4803875,44.6730094,44.8774395,45.0933741,45.320504,45.5585116,45.7917541,46.0200866,46.2433685
Denmark,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Djibouti,75.0925679,75.2079032,75.2194093,75.2310557,75.2426132,76.3054696,77.368978,78.4327568,79.4971986,80.5620787,81.6273414,82.6931286,83.759472,84.8262018,85.893456,86.9611204,88.0292394,89.0979007,90.1669635,91.236455,92.3094667,92.4903154
Dominica,NA,NA,NA,NA,NA,94.4720027,94.4678579,94.4654603,94.461722,94.4573804,94.4540131,94.4504442,94.4474106,94.4450867,94.4446857,94.4432354,94.4425036,94.4442821,NA,NA,NA,NA
Dominican Republic,88.8847794,88.5837621,88.277576,87.966009,87.7279055,87.498151,87.2517371,86.9881645,86.7080657,86.4113536,86.0982823,85.7685816,85.4227854,85.0609501,84.6819785,84.2864093,83.8750368,83.4485458,83.0076478,82.5530181,82.0853161,81.6052038
Ecuador,76.3692175,77.1086438,77.833709,78.5584408,79.2831383,80.0076789,80.7321587,81.4562504,82.180236,82.9040183,83.6276692,84.3508814,85.0942419,85.8507227,86.606658,87.3596813,88.1102367,88.8581871,89.6035425,90.3463266,91.0865519,91.8242499
Egypt,92.9497922,93.2606468,93.5721611,93.8843667,94.1972288,94.5107608,94.8249521,95.1447368,95.4675529,95.7901406,96.1124989,96.4346245,96.7565202,97.0781877,97.3996265,97.7208306,98.0418072,98.3625536,98.6834084,99.004225,99.3135348,99.315041
El Salvador,74.1960666,75.0463352,75.8853205,76.8983678,77.9437553,78.959382,79.9453431,80.8998745,81.8242707,82.5423517,83.2477289,83.9399151,84.6195029,85.2863674,85.9407158,86.5821625,87.2112328,87.8278468,88.4313534,89.0217928,89.5996169,89.6636382
Equatorial Guinea,NA,NA,NA,NA,50.9176295,50.9182491,50.9169708,50.9155827,50.9141687,50.9127958,50.9114493,50.9100047,50.9087728,50.9112778,50.9176085,50.9279477,50.9422686,NA,NA,NA,NA,NA
Eritrea,42.6368341,42.6664948,42.6989286,42.734082,44.2943533,45.8555214,47.4173587,48.9797632,50.5425486,52.1055628,53.6686356,55.2316305,56.7943215,58.3565553,59.9181214,59.9720473,60.0287957,60.0884307,60.1510736,NA,NA,NA
Estonia,98.7921903,98.786243,98.780226,98.7742459,98.7682479,98.7654004,98.762579,98.7597528,98.756917,98.7540961,98.7519962,98.7520757,98.752215,98.7523253,98.7524185,98.7525421,98.7526394,98.7527488,98.7528173,98.7529339,98.753374,98.7540814
