Access to Water (WATSUP) - Percentage of population with access to improved drinking water source,,,,,,,,,,,,,,,,,,,,,,
"Source: WHO/UNICEF Joint Monitoring Programme (JMP) for Water Supply and Sanitation, 2013.",,,,,,,,,,,,,,,,,,,,,,
Notes: NA = Not Applicable,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Libya,54.3699456,54.3695505,54.3691865,54.3687912,54.3684098,54.3680441,54.3676564,54.3672325,54.3667591,54.3662223,54.3656327,54.3649958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Liechtenstein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lithuania,NA,NA,NA,NA,NA,NA,NA,92.003613,91.9935005,91.9833858,91.9732356,91.9618855,91.9465446,91.9311783,91.9157882,91.9140112,91.9260012,91.9379836,91.9499649,91.9619215,NA,NA
Luxembourg,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Macao,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Macedonia,99.203238,99.2090074,99.2158779,99.2227194,99.2293259,99.2284124,99.2274296,99.2264727,99.2255587,99.2246067,99.223629,99.2226976,99.2217599,99.2207884,99.220133,99.2727572,99.3256786,99.3788826,99.43226,99.4858441,99.5395918,99.5934867
Madagascar,28.6218007,29.6777531,30.7317563,31.7822925,32.6682101,33.5365593,34.4025819,35.26564,36.1262996,36.9843096,37.8398339,38.6922604,39.542118,40.3891897,41.2336034,42.2309009,43.2241721,44.2128142,45.1970047,46.1735229,47.1433587,48.1059351
Malawi,41.6460396,43.7991668,45.9431932,48.0769666,50.2007846,52.313932,54.4161845,56.5063995,58.5847738,60.5552237,62.5019726,64.4451541,66.3848752,68.3210587,70.2537298,72.1827428,74.1081787,76.0299789,77.9481322,79.8644882,81.7783976,83.6891277
Malaysia,88.16956,89.0207461,89.9109861,90.7903163,91.6519982,92.4957712,93.3217622,94.1295684,94.9197015,95.6921374,96.447144,97.1846456,97.9038375,98.6056208,99.1423598,99.5239584,99.5382921,99.5519524,99.5649481,99.5772932,99.5890147,99.6001199
Maldives,93.209674,93.2040814,93.1980186,93.192512,93.1866018,93.5005147,93.8407623,94.1780372,94.510492,94.8320923,95.1631557,95.524333,95.8769388,96.2203269,96.5541534,96.8774556,97.190559,97.4912614,97.7801399,98.0570285,98.3224908,98.5766103
Mali,28.0874101,29.8029242,31.5220001,33.2440464,34.9697221,36.6988074,38.4315459,40.1673246,41.9142216,43.6926632,45.4761103,47.263724,49.0563526,50.8537004,52.6560835,54.4625786,56.2740808,58.090274,59.9114453,61.736616,63.565136,65.3965791
Malta,99.8408267,99.8557026,99.8703177,99.8846075,99.8985166,99.9120483,99.9265305,99.9407406,99.9539942,99.9666109,99.9783604,99.988993,99.9992542,100,100,100,100,100,100,100,100,100
Marshall Islands,91.9577906,92.0753471,92.1914562,92.3101519,92.4275685,92.5443068,92.6618537,92.7790781,92.8962064,93.0126728,93.1287755,93.2458614,93.3641916,93.4797661,93.5960591,93.7140881,93.8287684,93.9470726,94.0620272,94.1793393,94.2947555,94.4103911
Martinique,NA,NA,81.7960231,81.7079575,81.6221674,81.5387237,81.4579245,82.9951225,84.548055,86.1364564,87.7726425,89.4062087,91.0371889,92.6655505,94.2911508,95.9143401,97.5344511,99.1520839,99.9784014,99.9782381,99.9780688,99.9781392
Mauritania,30.2547471,31.2722146,32.2895345,33.3066137,34.3235419,35.3402823,36.3568307,37.3732051,38.3894064,39.4053762,40.4211836,41.4368355,42.4536296,43.4714329,44.4900804,45.5093758,46.5291398,47.5492051,48.5693971,49.5895347,49.5996703,49.6107908
Mauritius,99.1615293,99.1603075,99.1589979,99.1577873,99.1565363,99.1553059,99.1540687,99.1528646,99.1515624,99.1977002,99.2439134,99.2904784,99.3372293,99.3840761,99.4309885,99.4779358,99.5250591,99.5723749,99.6198151,99.667469,99.7152802,99.7631244
Mayotte,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mexico,82.3143934,82.9961988,83.6672127,84.3270603,84.9763524,85.6150465,86.2237608,86.8143109,87.3980882,87.9750611,88.5508318,89.1274246,89.6955276,90.2551495,90.8064596,91.3493642,91.8841758,92.410923,92.9297497,93.440632,93.9438049,94.43914
Micronesia,91.00489,91.0024405,91.0002566,90.9115437,90.8225845,90.7155447,90.602758,90.4879246,90.370336,90.2524315,90.1384648,90.0456706,89.9524729,89.8592199,89.7664469,89.6736399,89.5809234,89.4896995,89.3990051,89.3093354,89.2206295,89.1332413
Moldova,NA,NA,92.661672,92.6519409,92.6422034,92.6324863,92.6227394,92.8167427,93.01306,93.2117523,93.4127736,93.6162629,93.822106,94.0302982,94.2407938,94.4982261,94.7983303,95.0942929,95.3861272,95.672957,95.9550055,96.2322955
Monaco,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Mongolia,53.9673157,53.9458218,53.9243319,53.9028529,53.8813653,55.6892475,57.4969392,59.3045841,61.1120054,62.9193315,64.9940345,67.350499,69.7072171,72.0628752,74.4176687,76.7689734,79.1184931,81.4650283,83.2693027,84.3376324,84.8000055,85.255136
Montenegro,97.3745762,97.4223196,97.4667136,97.5110626,97.5554381,97.5996033,97.6437657,97.6877452,97.7314569,97.7750126,97.8182313,97.8611738,97.9037344,97.9459761,97.9651052,97.9726808,97.9803022,97.9877763,97.9955021,98.0029662,98.0105782,98.0180653
Montserrat,97.162591,97.3013214,97.4358974,97.5833869,97.721117,97.8648384,97.9954979,98.1442792,98.2728337,98.4202212,98.5601298,98.6979167,98.8412017,98.9721886,98.9853439,98.9819611,98.9756944,98.9734816,98.9788972,98.9821883,98.9720256,98.9816361
Morocco,72.9638085,73.5593512,74.1540414,74.7466004,75.3380687,75.8011334,76.2371547,76.6721305,77.1065793,77.5403107,77.9734935,78.4055925,78.8371236,79.2678989,79.6980814,80.1271486,80.5576716,80.9894419,81.4224232,81.8565849,81.9876724,82.1205415
Mozambique,34.3240194,34.7971238,35.2862067,35.7891265,36.3078115,37.3191258,38.3400477,39.3677525,39.9649539,40.5211392,41.0768381,41.6316788,42.1860059,42.7397046,43.2928813,43.8451772,44.3969344,44.948033,45.4985783,46.0544949,46.6160769,47.1831666
Myanmar,55.5906005,55.6442518,55.7044799,55.7713796,57.3575737,58.9457496,60.5353864,62.1259627,63.7169409,65.3077767,66.8979146,68.4867828,70.0737955,71.658352,73.2398315,74.8175963,76.3909894,77.9593266,79.5179736,81.0667545,82.6054961,84.1340265
Namibia,64.3633511,65.9662394,67.6248443,69.2953073,70.9479289,72.5821024,74.1977983,75.7938936,77.3709224,78.9281558,80.4656408,81.9823807,83.4787839,84.9542558,86.4086674,87.8416847,89.2529357,90.6422651,92.0093964,93.3539779,93.4005288,93.4473865
Nauru,NA,NA,NA,NA,NA,NA,93.023024,93.0304235,93.0290374,93.0220983,93.0285828,93.290862,93.56667,93.8362283,94.1054092,94.3741349,94.6412711,94.9084105,95.1768173,95.4465335,95.7191614,95.983702
Nepal,66.9281126,67.9936965,69.0741855,70.1481001,71.2154395,72.2754967,73.3278769,74.3715127,75.4062796,76.4313816,77.446306,78.4451267,79.3883894,80.3249446,81.2546656,82.1772091,83.09255,84.0004514,84.9007613,85.7931794,86.6776244,87.5538636
Netherlands,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Netherlands Antilles,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Caledonia,NA,NA,NA,NA,NA,NA,NA,NA,94.0139808,94.0140845,94.0141061,94.0138203,94.0138618,94.5068368,94.999956,95.4929029,95.985973,96.4788261,96.9721421,97.4649656,97.9579065,98.4510392
New Zealand,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Nicaragua,73.8654197,74.4853971,75.1032496,75.7186274,76.3318813,76.9429852,77.552542,78.1595669,78.7644502,79.3670529,79.9674951,80.5654314,81.1612261,81.7547172,82.346044,82.9348883,83.5242277,84.1138216,84.7035361,84.7846234,84.8681525,84.954119
Niger,34.6933142,35.4218792,36.1533822,36.8877485,37.6251109,38.3654325,39.108792,39.8550724,40.6044211,41.356811,42.1123119,42.8707955,43.6381819,44.4151756,45.2025573,46.001111,46.811682,47.6351141,48.4723018,49.3241667,50.1198012,50.2533388
Nigeria,47.1634473,47.9975544,48.8188177,49.6219798,50.4083525,51.1773001,51.9287069,52.6624765,53.3785372,54.0768441,54.7573681,55.420109,56.0650836,56.6923317,57.3019128,57.8939074,58.4684131,59.0255462,59.565442,60.0882507,60.5941377,61.0832848
Niue,99.1427347,99.1710297,99.159292,99.1491267,99.137931,99.1697417,99.10504,99.081682,99.0551964,99.0271377,99,98.9200864,98.8944168,98.8687783,98.8425926,98.8137604,98.7827145,98.7484355,98.7138264,98.6763733,98.6376022,98.5974755
Norfolk Island,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
North Korea,100,100,100,100,100,100,100,100,99.9608637,99.8170025,99.6733961,99.530035,99.3869263,99.2440654,99.1014512,98.9590895,98.816973,98.6751084,98.5334943,98.3921193,98.2512569,98.1109582
Northern Mariana Islands,94.2601142,94.3672823,94.4758978,94.5840762,94.6929921,94.8015369,94.9096771,95.0180034,95.1257331,95.2351845,95.3428221,95.4512604,95.5600709,95.6674626,95.7765628,95.8845965,95.9927885,96.1009495,96.2093546,96.318709,96.4262849,96.5344754
Norway,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Oman,78.8432353,79.0703539,79.2917317,79.5059899,79.5923613,80.3258307,81.0594006,81.7930446,82.5268044,83.2606296,83.9945269,84.7285263,85.4626436,86.1968084,86.9487743,87.7133661,88.4766845,89.2386616,89.9994046,90.7587401,91.5168908,92.2738652
Pakistan,85.2778182,85.5878653,85.8962721,86.2028813,86.5078224,86.8110345,87.1125477,87.4122177,87.7103871,88.0072039,88.302227,88.5953228,88.886599,89.1760015,89.4635525,89.7491358,90.0328421,90.3146242,90.5945003,90.8731759,91.1506178,91.4266713
Palau,90.0192193,90.3238317,90.6191015,90.9146528,91.1985242,91.4744407,91.6186278,91.7338042,91.8583306,91.9898284,92.2178177,92.6966292,93.1385071,93.5424916,93.9150634,94.252989,94.5529959,94.8205587,94.9475974,95.0604541,95.1641266,95.264205
Panama,83.7285993,84.5134572,85.2716898,86.0015986,86.7044645,87.3797034,88.0277862,88.6474304,89.2400527,89.8054101,90.3440855,90.8492068,91.3233846,91.7678564,92.184179,92.5738986,92.9385601,93.2796784,93.5986839,93.8970236,94.1759885,94.2498078
Papua New Guinea,33.4324597,33.3204663,33.2027564,33.0865751,32.9714982,33.3442898,33.7196141,34.0979077,34.4786491,34.8620186,35.2477977,35.6363931,36.0391954,36.4557372,36.8854439,37.3278241,37.7824297,38.248852,38.7267554,39.2158202,39.7158261,40.2265154
Paraguay,52.1280155,54.4163271,56.6842263,58.8853278,61.0602478,63.2167103,65.3550452,67.4739812,69.5746529,71.6566465,73.7202629,75.7644088,77.7901773,79.797204,81.7831368,83.7477127,85.6916515,85.8892732,86.0835261,86.2743957,86.461856,NA
Peru,74.8433253,75.4105957,75.9697472,76.5201686,77.0792124,77.6295525,78.1710057,78.7029871,79.226254,79.74067,80.2465226,80.7433192,81.2317367,81.7116828,82.1834185,82.6465435,83.1016629,83.5487071,83.9879286,84.4175847,84.8384015,85.2505238
Philippines,84.7950275,85.1657666,85.5373831,85.9099121,86.2833187,86.6576153,87.0327926,87.4088757,87.7858392,88.1636925,88.5424266,88.9237426,89.3071121,89.6920346,90.0780002,90.4645018,90.8510321,91.2370824,91.6221448,92.005711,92.3872719,92.3885783
Pitcairn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Poland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98
Portugal,96.1435405,96.3285062,96.5148708,96.6992585,96.8817415,97.0622946,97.2409206,97.4175718,97.5922946,97.7650824,97.9359357,98.1048109,98.2716725,98.4365182,98.599415,98.7603929,98.9194839,99.0767471,99.2322146,99.3859348,99.5379545,99.6883157
Puerto Rico,93.6288811,93.6288973,93.6288812,93.6289021,93.6288873,93.6288942,93.6288764,93.6288809,93.6288916,93.6288937,93.6288802,93.6288896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Qatar,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Reunion,99.131094,99.1407134,99.1499449,99.1587219,99.1670566,99.1750337,99.1826155,99.1898252,99.1965864,99.2029631,99.2089139,99.2142744,99.074232,99.0812969,99.0876443,99.0936461,99.0989559,99.1038278,99.1084053,99.112466,99.1162649,99.1197045
Romania,75.2623971,76.4230852,77.4188434,78.2514627,79.0872941,79.9264131,80.7687643,81.6145403,82.4635496,83.3158654,84.1714213,85.0304075,85.9041394,86.8074276,87.7105811,87.7119564,87.713331,87.7147055,87.7160815,NA,NA,NA
Russia,93.1544709,93.3459741,93.5375237,93.7291222,93.9207664,94.1124576,94.3041952,94.4959822,94.6878147,94.8796947,95.0716208,95.2635957,95.4556169,95.6352702,95.8117473,95.9951561,96.1945455,96.4027385,96.6090829,96.8135369,97.0161627,97.027007
Rwanda,61.557066,61.8454847,62.2745591,62.7303366,63.1941683,63.665509,64.144315,64.6289546,65.1196207,65.6149176,66.1139364,66.613803,67.113826,67.3597762,67.5661055,67.7688547,67.9694317,68.1675801,68.3630558,68.5556442,68.7451107,68.9312023
Saint Helena,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saint Kitts and Nevis,NA,NA,NA,NA,98.2969114,98.2978131,98.2980281,98.2980452,98.2979861,98.2981156,98.2965519,98.2974623,98.2962352,98.2972685,98.2963558,98.2978464,98.2975648,98.2974928,98.2975226,98.2976503,98.2977749,98.2978643
Saint Lucia,93.3208734,93.3840749,93.4394451,93.4942982,93.5492754,93.6042756,93.6586544,93.6973372,93.7344946,93.7707791,93.8068081,93.8379318,93.8382838,93.8366604,93.8342979,93.831493,93.8276188,93.8232036,93.8179857,93.8124065,93.8066301,93.8032537
Saint Pierre and Miquelon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saint Vincent and the Grenadines,88.1702017,88.7002923,89.2301992,89.7603909,90.2904088,90.8203577,91.3502207,91.8799026,92.4101309,92.9395841,93.4702617,94.0002037,94.5298197,95.0597117,95.0601477,95.060457,95.0595861,95.0596002,95.0603601,95.059898,95.0600459,95.0596626
Samoa,88.9304932,89.3658002,89.8064595,90.2489526,90.6901393,91.1308296,91.5702275,92.0088958,92.4468287,92.883444,93.3197016,93.7549607,94.1811214,94.6048085,95.0311354,95.4598667,95.8913734,96.3249612,96.7608864,97.1995768,97.6398425,98.0829264
San Marino,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sao Tome and Principe,NA,NA,NA,NA,73.8612457,74.0305624,74.1998023,74.369142,74.5380527,76.3776855,78.1987093,80.0006972,81.7852512,83.5474675,85.2891671,87.0117021,88.7139446,90.3985104,92.0651603,93.7144264,95.3481623,96.9660468
Saudi Arabia,91.9925661,91.9925681,92.3286681,92.6647707,93.0008766,93.3369764,93.6730839,94.0091865,94.3452882,94.6813928,95.0174944,95.3535988,95.689699,96.0258026,96.3619089,96.698011,97.034114,97.0341132,97.0341128,97.0341121,97.0341138,97.0341145
Senegal,59.6008906,60.262851,60.9233594,61.5821445,62.2394801,62.8952489,63.5495616,64.2021425,64.8532373,65.5027693,66.150813,66.7971125,67.4419252,68.0851423,68.7329251,69.3848587,70.0407778,70.7004242,71.3635634,72.0299268,72.6992661,73.3713406
Serbia,99.4902257,99.4917095,99.4927053,99.4936949,99.4946885,99.4956748,99.4966708,99.4976568,99.4986459,99.4996343,99.5006296,99.4740385,99.4476013,99.4214909,99.3954772,99.3695613,99.343747,99.3180307,99.2924555,99.2670107,99.2416973,99.2165187
Seychelles,96.2551562,96.2548747,96.2549449,96.2543495,96.2548638,96.2544311,96.2553315,96.255001,96.2544968,96.2549801,96.2546864,96.2553683,96.2549603,96.2552045,96.2544324,96.2544754,96.2546417,96.2553692,96.2544409,96.2546033,96.2551145,96.2545609
Sierra Leone,37.1718723,38.1292722,39.087405,40.0457835,41.0048771,41.9645374,42.9249108,43.8855134,44.8467956,45.808637,46.7711613,47.7338662,48.6972743,49.6611642,50.6257302,51.590444,52.5602718,53.5350545,54.5148731,55.4997279,56.4896747,57.4847528
Singapore,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Slovakia,99.821122,99.8223244,99.8220646,99.8218168,99.8215649,99.8213226,99.8210677,99.8208128,99.8205705,99.8203227,99.8200688,99.8197907,99.841166,99.8626779,99.8843539,99.9061951,99.9281647,99.9502852,99.9725617,99.9949926,100,100
Slovenia,99.6015469,99.6020259,99.6021439,99.6022477,99.6023476,99.602483,99.6025844,99.6026835,99.602781,99.6029012,99.6030031,99.603095,99.6030772,99.6026927,99.6022941,99.6018649,99.6014755,99.6010624,99.6006287,99.6002549,99.5998384,99.599511
Solomon Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.4550757,78.5213882,78.5893309,78.6584268,78.7288338,78.8005662,78.873706,78.9480151,79.0239916,79.1009778,79.1795194,79.2582211
Somalia,NA,NA,NA,18.9155039,18.9257225,18.9360058,18.9463796,18.9567851,19.7154064,20.5153814,21.3571692,22.240816,23.1669639,24.1382719,25.1562527,26.2224279,27.3382839,28.5053872,28.7574673,29.0148915,29.2776924,29.5458776
South Africa,82.5987602,82.763296,82.9175399,83.0711773,83.2248163,83.7927898,84.3534079,84.9065906,85.4525731,85.9909484,86.521895,87.0448804,87.5604485,88.0680629,88.567769,89.0596211,89.5436759,90.0199892,90.4886241,90.9496423,91.4031063,91.4913895
South Korea,NA,89.597906,89.848816,90.0932103,90.3320664,90.5650139,91.1930215,91.7609037,92.3217146,92.8754427,93.4222455,93.9801652,94.5371895,95.0834874,95.6193436,96.1447089,96.6600323,97.1646102,97.6589304,97.6951156,97.7300962,97.7639017
Spain,99.9547895,99.9546835,99.9546338,99.9545855,99.9545355,99.9544853,99.9544377,99.9543888,99.9543389,99.9542916,99.9542425,99.9541934,99.9541469,99.9540935,99.9540392,99.953979,99.9539165,99.9538498,99.9537791,99.9537076,99.9536298,99.9535506
Sri Lanka,67.5664854,68.7230866,69.883111,71.0466983,72.2136274,73.3839352,74.5575389,75.7345418,76.9147646,78.0982273,79.2848568,80.4747267,81.6676994,82.8669634,84.0717961,85.2814882,86.4953616,87.7127617,88.9330358,90.1555469,91.3796721,92.6047904
State of Palestine,NA,96.4792138,96.5366463,96.5933667,96.6496375,96.7053745,96.6249994,95.7037368,94.466339,93.2347479,91.9982117,90.7567003,89.5103324,88.2590839,87.0030369,85.7421654,84.4765454,83.2061828,81.9311724,81.807004,81.80547,81.8039293
Sudan,67.3990089,67.7032933,67.3217665,66.8815518,66.2165663,65.5300397,64.8271192,64.1202978,63.4115756,62.7026811,61.9952217,61.2893689,60.5839048,59.8780709,59.1712193,58.4627178,57.7474712,57.0245257,56.2992118,55.579052,54.8679921,55.4359776
Suriname,NA,NA,NA,NA,88.1458352,88.2788126,88.4113004,88.5428735,88.6740185,89.0315126,89.3774392,89.7108554,90.0325327,90.3424404,90.6407886,90.9273895,91.2016526,91.464041,91.714654,91.7806875,91.8455844,91.9092439
Svalbard and Jan Mayen Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Swaziland,38.9004191,38.9175034,38.9346347,38.9516634,40.841949,42.7310965,44.6193095,46.4931309,48.2891161,50.0910154,51.8987961,53.7125971,55.5322102,57.3576039,59.1887444,61.0256591,62.8683326,64.7166346,66.576172,68.4460498,70.3249256,72.2119452
Sweden,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Switzerland,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Syria,85.6731144,85.7182989,85.7635552,85.8086947,85.8538951,86.1407594,86.4270314,86.7062849,86.9788236,87.2445431,87.5035197,87.7555086,88.0007496,88.2391666,88.4708281,88.6955464,88.9139672,89.1259232,89.331297,89.5299795,89.721873,89.9068705
Taiwan,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Tajikistan,NA,NA,NA,60.9487436,60.698719,60.4513901,60.206466,59.9649868,60.1859158,60.4172032,60.7629722,61.2162975,61.6700253,62.1241828,62.5962586,63.0681177,63.5397786,64.0112252,64.4824802,64.9535114,65.4243566,65.8949932
Tanzania,54.9959557,54.9406679,54.8834832,54.8236921,54.7618527,54.6976743,54.6312943,54.5620045,54.4903463,54.4160377,54.3392048,54.2591385,54.1763797,54.090641,54.003671,53.9149573,53.8245853,53.7324403,53.6383993,53.5423372,53.4441253,53.3436296
Thailand,86.4198309,86.9608423,87.4995709,88.0359209,88.5699639,89.1016615,89.6310228,90.157967,90.6825538,91.2047449,91.7245482,92.2427998,92.7592454,93.2735592,93.7854296,94.2945389,94.8005647,95.3031833,95.8020643,95.8063548,95.8108703,95.8156107
Timor-Leste,NA,NA,NA,NA,NA,52.8119163,52.8725302,52.9336694,52.9955389,53.0579825,54.3381493,55.6280073,56.9278875,58.2379494,59.5583887,60.8889641,62.2297732,63.5807951,64.9420375,66.3135395,67.6954343,69.0877544
Togo,48.4736499,48.9313321,49.3933827,49.8590639,50.3291651,50.8034038,51.2820945,51.7644135,52.2511912,52.742179,53.2376525,53.7367376,54.2403076,54.7480664,55.2603468,55.7761919,56.2965243,56.82104,57.350017,57.8825248,58.4194925,58.9605728
Tokelau,90.0559354,90.0821226,90.0513479,90.0520156,90.0918635,90.5921053,91.1052976,91.6666667,92.1455939,92.6798218,93.2345361,93.75,94.273743,94.8109711,95.3579858,95.8677686,96.4102564,96.9512195,97.4539069,97.4471831,97.4449339,97.4426808
Tonga,98.643195,98.6433031,98.6429275,98.641421,98.6414605,98.6413922,98.6402761,98.6400969,98.6397294,98.6390369,98.6388931,98.6382469,98.6381028,98.6373534,98.6368985,98.7238175,98.8098519,98.8958867,98.9826062,99.06877,99.1552788,99.2412137
Trinidad and Tobago,88.5812682,88.8910036,89.20108,89.5113341,89.8218675,90.1326497,90.4437164,90.7550217,91.066618,91.3785453,91.6906981,92.0030039,92.3154699,92.6280086,92.9407564,93.2536153,93.5666584,93.8797832,93.8910176,93.9023414,93.9135945,93.9249824
Tunisia,81.5124105,82.4296494,83.3300521,84.2126454,85.0569933,85.8022636,86.5395691,87.2685196,87.9895839,88.702633,89.407851,90.1049112,90.7942036,91.475667,92.1436591,92.7788159,93.410161,94.0376598,94.6613482,95.28115,95.897961,96.3763929
Turkey,85.3500744,85.5091551,86.3724967,87.2241458,88.0645967,88.8937637,89.711828,90.5185242,91.3142683,92.0990265,92.8729697,93.6374894,94.3916821,95.1325029,95.8462505,96.5543921,97.2570447,97.9542111,98.6711697,99.3034093,99.7295165,99.738847
Turkmenistan,NA,NA,NA,NA,86.4032629,86.4170811,86.4684876,86.519806,86.5712252,84.9488035,83.3320782,81.7208024,80.1152281,78.5152559,76.9209953,75.3358739,73.7606175,72.1956029,70.6412416,70.7417878,70.8465201,70.9554637
Turks and Caicos Islands,NA,NA,NA,NA,NA,87.0475445,87.0483637,87.047619,87.0488576,87.0483128,87.0502835,87.0513315,87.0508592,87.0517073,87.0490582,87.0492287,87.0512427,87.0509243,NA,NA,NA,NA
Tuvalu,89.8156375,90.2606007,90.6843898,91.1018802,91.5215498,91.9367075,92.3467185,92.7618843,93.1754875,93.5886495,94.0014864,94.4145286,94.8163694,95.2241919,95.6354966,96.0387869,96.4447185,96.8551526,97.2613938,97.6646951,97.6696856,97.6744186
Uganda,40.5755471,42.2718121,43.8889853,45.5044884,47.1184393,48.7307784,50.3415265,51.9505487,53.5579494,55.1636742,56.7677441,58.3700262,59.9706208,61.6271822,63.2935976,64.9542137,66.6091788,68.2581169,69.9008902,71.5368731,73.1659086,74.7876226
Ukraine,NA,NA,NA,NA,96.6443711,96.6477557,96.651141,96.6545172,96.6578945,96.7782652,96.8980499,97.0172432,97.1393041,97.2621132,97.3837663,97.5036851,97.6202871,97.7341744,97.8453601,97.9538493,97.9545893,97.9553522
United Arab Emirates,99.6658819,99.6664593,99.6670961,99.6676728,99.6682908,99.6689005,99.6674997,99.6663361,99.6645614,99.6625519,99.6585782,99.6516524,99.6428847,99.6377786,99.6426777,99.6527209,99.6511484,99.6496188,99.6481662,99.6467697,99.6454327,99.6441355
United Kingdom,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
United States of America,98.3542793,98.3771541,98.3998078,98.4221462,98.444262,98.4661227,98.4877579,98.5090782,98.5301715,98.5510087,98.5716178,98.5915771,98.6109844,98.629824,98.6481086,98.66585,98.6830604,98.6997523,98.7159366,98.7316252,98.7468295,98.7615605
United States Virgin Islands,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Uruguay,96.49869,96.5520545,96.6040629,96.6545537,96.7037273,96.934418,97.1567702,97.3552145,97.5514101,97.7453444,97.9370702,98.1265696,98.3139666,98.4992435,98.6825003,98.8635765,99.0426005,99.2196138,99.394734,99.5680575,99.7396095,99.8105034
Uzbekistan,89.9589174,89.918537,89.8782152,89.8381273,89.7981098,89.6059388,89.4108573,89.2273832,89.0568688,88.8852499,88.712512,88.5362493,88.358735,88.1799998,88.0000138,87.8188786,87.6365015,87.4576594,87.2826857,87.2710079,87.2641867,87.2622155
Vanuatu,61.892032,63.339324,64.7800605,66.2135534,67.6403619,69.0591514,70.4714669,71.8758754,73.2727906,74.6621864,76.037693,77.4026084,78.7602477,80.1108177,81.4536804,82.7882748,84.1156117,85.4350945,86.7466815,88.0499594,89.3453397,90.6322394
Venezuela,89.918272,90.1573422,90.4041306,90.6426641,90.8737543,91.0974627,91.314203,91.5237642,91.7268569,91.9235753,92.1142967,92.2988803,92.477942,92.6490476,92.7208075,92.7874242,92.8492537,92.9066223,NA,NA,NA,NA
Viet Nam,58.0534367,59.9461203,61.8293276,63.7082288,65.576806,67.4280007,69.2688409,71.0986329,72.9176144,74.7339699,76.5626887,78.3757716,80.1733254,81.9547625,83.7198088,85.467652,87.1982947,88.9112033,90.6060752,92.2822584,93.9393213,95.5770034
Wallis and Futuna Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Western Sahara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Yemen,66.3082475,65.7087579,65.1061334,64.4993069,63.8889009,63.2524439,62.5933987,61.9297553,61.26205,60.5898982,59.9133813,59.2316997,58.5453535,57.8539793,57.1576457,56.4555695,55.7479283,55.0343806,54.314792,54.4588111,54.6039636,54.7502206
